,words,category
736,Drifting here and there .,adventure
737,"Squatting , as if waiting .",adventure
738,The pulsing glow of a cigarette .,adventure
739,The clerk paid them no attention .,adventure
740,"This impressed me , until I realized how limited was his sphere of influence .",adventure
741,His job simply consisted in registering new men .,adventure
742,When the phone rang he answered it .,adventure
743,"His authority extended to the far edge of the counter , no further .",adventure
744,None of the men hanging around the hall bothered to speak to him .,adventure
745,"He spoke to me in a gruff voice , an affectation which quite belied his personality .",adventure
746,"He wore his white shirt open at the neck , revealing a bit of scrawny pale chest underneath .",adventure
747,It was obvious that he wished himself different from the sort of person he thought he was .,adventure
748,But it was not easy for him and he often slipped .,adventure
749,When one of the men in the hall behind us spat on the floor and scraped his boot over the gob of spittle I noticed how the clerk winced .,adventure
750,I felt certain he was really a spineless little man .,adventure
751,"The morning's tabloids were on the counter , and a stack of dog-eared men's magazines .",adventure
752,"Once , pressing him , I learned that his job was only part-time , in the afternoons when nothing went on in the hall .",adventure
753,Noticing my disappointment he attempted to salvage what scraps and shreds of authority he felt might still be clinging to his person .,adventure
754,With distaste I saw him assume a pompous air .,adventure
755,When he saw me coming he turned his radio off .,adventure
756,He made a show of rearranging my forms on the shelf .,adventure
757,"He would pick up the ringing phone with studied negligence , then bark into it with gruff importance .",adventure
758,What limited knowledge he possessed he forced upon me .,adventure
759,"In the mornings , I was informed , fluorescent tubes , similar to the one above the counter , illuminated the entire hall .",adventure
760,"They , and the two large fans which I could dimly see as daylight filtered through their vents , down at the far end of the hall , could be turned on by a master switch situated inside the office .",adventure
761,He pointed out the switch to me and for a moment I foolishly believed that he would let deed follow words .,adventure
762,"I was shown , instead , a batch of white tickets of the sort handed out , he told me , every morning .",adventure
763,"Now , here was something of obvious importance to me , yet when I reached for the tickets he snatched them away from my hand .",adventure
764,Each of those tickets was of great value to its rightful recipient .,adventure
765,I withdrew my hand .,adventure
766,Later I would remember what this pompous little man had told me about the worth of a ticket .,adventure
767,"Having nothing else to do except wait for my forms to be processed , I gave myself over to speculations concerning the hall itself .",adventure
768,"When suitably lighted , what would it look like ? ?",adventure
769,The presence of the two exhaust fans seemed to indicate that the hall could become crowded for air .,adventure
770,"One afternoon , upon receiving permission and the necessary instructions from the clerk , I had visited the toilet adjoining the hall .",adventure
771,By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time .,adventure
772,"I could observe the two fans down at the end , but their size in themselves meant nothing to me as long as I had no measure of comparison .",adventure
773,"I had for some time been hoping , in vain , for one of the dim figures to pass between the fan vents and myself .",adventure
774,"I knew that three or four of them were almost always present in the hall , but what they were doing , and exactly where , I could not tell .",adventure
775,"It was , I felt , possible that they were men who , having received no tickets for that day , had remained in the hall , to sleep perhaps , in the corners farthest removed from the counter with its overhead light .",adventure
776,Also the clerk appeared to disapprove of my frequent curious glances back over my shoulder .,adventure
777,"No sooner would I turn my head away from the counter before he would address me , at times quite sharply , in order to bring back my attention .",adventure
778,"And I had hardly finished my business in the toilet on the aforementioned occasion when the lights in that place , like the hall lights controlled from the switch in the office , flicked off and on impatiently .",adventure
779,I felt certain it was self-appointed .,adventure
780,It sprang from a type of mentality I'd encountered often enough but certainly had not expected to find here .,adventure
781,I decided to see no more of the clerk until the processing of my papers was completed .,adventure
782,"I felt strongly attached to the hall , however , and hardly a day passed when I did not go to look at it from a distance .",adventure
783,I lived in a state of suspense because of it .,adventure
784,Although I had been inside it I had not yet seen it functioning .,adventure
785,I wished to prepare myself but did not even know what sort of clothes I ought to be wearing .,adventure
786,"I did not despair , however ; ;",adventure
787,far from it ! !,adventure
788,I was constantly searching for clues around the neighborhood of the hall .,adventure
789,"Though only a relatively short walk separated it from my own part of town , its character was wholly foreign to me .",adventure
790,Sometimes I noticed the tops of ships' masts and funnels reaching above the pier roofs .,adventure
791,"The sounds issuing from beyond -- winches whirring , men shouting -- indicated great activity and excited me .",adventure
792,"The hall , on the other hand , appeared lifeless and deserted on these long waterfront afternoons .",adventure
793,It resembled nothing I'd ever seen before .,adventure
794,"Its front was windowless , but irregularities in the masonry might be an indication that windows , now blinded , had once looked out upon the street .",adventure
795,"I kept circling the block hoping to see , from the street behind it , the rear of the hall .",adventure
796,But it was not a tall structure and other buildings concealed it .,adventure
797,"For weeks I wandered about this neighborhood of warehouses and garages , truck terminals and taxi repair shops , gasoline pumps and longshoremen's lunch counters , yet never did I cease to feel myself a stranger there .",adventure
798,"I returned to the hall , despite my dislike for the clerk .",adventure
799,"As I had expected , he insisted that my visits to the hall would do nothing to further the process of my application .",adventure
800,Meanwhile spring had passed well into summer .,adventure
801,"At last , when I put it to him directly , the clerk was forced to admit that the delay in my case was unusual .",adventure
802,"When I asked him what , if anything , I could do about it , he surprised me by referring me to the director of the hall .",adventure
803,"I could consult this personage on any weekday morning , though not before ten o'clock .",adventure
804,The clerk impressed this upon me : that I should not arrive in the hall before ten o'clock .,adventure
805,When I went for my interview with the director I saw why .,adventure
806,Although it was dark as usual I could see that the hall had only recently contained a great many people .,adventure
807,Cigarette butts littered the floor .,adventure
808,I had felt the draft they were making while mounting the stairs .,adventure
809,The staircase itself seemed still to be echoing the heavy footfalls of many men .,adventure
810,I stopped by the counter .,adventure
811,"No one was behind it , but in the rear wall of the office I noticed , for the first time , a door which had been left partially open .",adventure
812,"Past it I could see part part of a desk , a flag in a corner , a rug on the floor .",adventure
813,The director's office .,adventure
814,I rapped my knuckles on the counter .,adventure
815,"He was a man in his late forties , with graying hair , of medium height ; ;",adventure
816,"he looked dapper in a lightweight summer suit , brown silk tie and green-tinted soft collar .",adventure
817,"He wore perforated , white-topped shoes ; ;",adventure
818,they somehow made me expect to see him launch into a vaudeville tapdance routine any moment .,adventure
819,"But he came toward me sedately enough , showed me around the counter , offered me a seat inside his office , then walked to a file cabinet and got out my application .",adventure
820,"I had the impression that he had read my forms , perhaps several times .",adventure
821,He did not look at them now .,adventure
822,Why had I registered ? ?,adventure
823,He had looked over my forms and was impressed by what he had seen there ; ;,adventure
824,"indeed , my scholastic qualifications were such that he , a college graduate himself , must envy me them .",adventure
825,"Was I sure , he asked , that I knew what I was applying for ? ?",adventure
826,"What sort of men I would come into contact with , at the hall ? ?",adventure
827,These questions did not surprise me ; ;,adventure
828,"I felt certain that the director , like the afternoon clerk , seldom moved beyond the counter , that the hall , to them , was a jungle , a dark and unwelcome place .",adventure
829,"Though I doubted that he would understand me , I told the director my motives for applying .",adventure
830,"I had always , I said , hankered after working hard with my hands .",adventure
831,"This desire , I went on , growing voluble as my conviction was aroused , had mounted at such a rate recently that I now found its realization necessary not only to my physical but also to my spiritual wellbeing .",adventure
832,To this effect I had already severed all connections which bound me to my former existence .,adventure
833,"The flat , hard cap was small , but he thrust it to the back of his head .",adventure
834,`` Tie him up '' .,adventure
835,"Before they could guess his intention Rankin stepped forward and swung the guard's own gun against the uncovered head , hard .",adventure
836,"The man went over without sound , falling to the bare floor .",adventure
837,"Barton said harshly , `` Why did you do that '' ? ?",adventure
838,Rankin sneered at him .,adventure
839,"`` What did you want me to do , kiss him ? ?",adventure
840,He dumped me in solitary twice '' .,adventure
841,The only reason we brought you was to get Miller out .,adventure
842,Fred Rankin looked at him .,adventure
843,"It seemed to Barton that the green eyes mocked him , the thin-lipped smile held insolence , but he had no time to waste now .",adventure
844,`` Come on .,adventure
845,"They filed out through the guard-room door , into the paved square .",adventure
846,"There were three other men within this prison whom Barton would have liked to liberate , but they were in other cell blocks .",adventure
847,There was no moon .,adventure
848,They had chosen this night purposely .,adventure
849,"They reached the guard house without alerting the men on the walls above , and Powers slipped through the door .",adventure
850,"Two men were on duty inside , playing pinochle , relaxed .",adventure
851,`` What are you doing out of the block '' ? ?,adventure
852,"`` It's Curtiss '' , he said , naming the man Rankin had hit .",adventure
853,`` I've got to have help '' .,adventure
854,They stared at him .,adventure
855,The sergeant in charge climbed to his feet .,adventure
856,`` What's wrong with him '' ? ?,adventure
857,The sergeant turned to the door .,adventure
858,As he passed through it Barton shoved his gun against the man's side .,adventure
859,The sergeant froze .,adventure
860,Powers had not followed .,adventure
861,Powers was covering the remaining guard .,adventure
862,The man half-reached for the cord of the alarm bell .,adventure
863,Powers knocked his arm aside .,adventure
864,"Deliberately , with none of Rankin's viciousness , he laid the barrel of his gun alongside the guard's head .",adventure
865,They were free .,adventure
866,Even Barton could not quite believe it .,adventure
867,"They slid through the wicket in the big gate , ghosted across the dark ground .",adventure
868,Five minutes later they reached the horses .,adventure
869,He had been worried that with Miller and Rankin added to the escape party they would be short .,adventure
870,No one hurried .,adventure
871,"They walked the horses , heading along the river , Barton and Emmett Foster in the lead , seven men riding quietly through the night .",adventure
872,"The only thing which would have attracted attention was that two wore the uniform of prison guards , three the striped suits of convicts .",adventure
873,Five miles .,adventure
874,"In a small grove against the river they halted , turning deep into the protection of the trees .",adventure
875,"A good man , Emmett .",adventure
876,"He had been one of the original Night Riders , one who had escaped the trial .",adventure
877,It was to him that Barton had sent Carl Dill on Dill's release from the prison .,adventure
878,"Clyde Miller was crying softly to himself , shedding his striped suit and fumbling into the nondescript butternut pants , the worn brown shirt .",adventure
879,"Kid Boyd was unusually silent , Rankin watchful , a few paces apart .",adventure
880,Barton finished his dressing and extended his hand to Powers .,adventure
881,`` I won't even try to thank you '' .,adventure
882,I did it for the valley .,adventure
883,We've been starving and I don't like to starve '' .,adventure
884,"Barton turned away , his eyes falling upon Rankin beside his horse .",adventure
885,`` Good luck '' .,adventure
886,`` Meaning you want me to ride out '' ? ?,adventure
887,`` You aren't one of us .,adventure
888,There's nothing for you here '' .,adventure
889,`` I got no place to go '' .,adventure
890,Barton hesitated .,adventure
891,"He did not trust Rankin , his violent temper , his killer instinct .",adventure
892,But ten years in prison had taught him realities .,adventure
893,"They were in a fight , outweighed in both numbers and money .",adventure
894,"It was all right to put a bunch of ranchers onto horses , to call them Night Riders , to set out to attack the largest mining combination the country had ever seen if all they wanted was adventure .",adventure
895,"But if they really hoped to succeed they needed professionals , men who knew how to use a gun against men , who would match the killers on the other side .",adventure
896,"`` Your choice '' , he said briefly , and turned to Kid Boyd .",adventure
897,"Then Barton touched Carl Dill's arm and moved off , up the river bank .",adventure
898,"He wanted a careful , uninterrupted report from Dill on the conditions in the valley .",adventure
899,"He too knew the agony of going for weeks , sometimes months without the solace of tobacco .",adventure
900,"He had been the auditor for the mining syndicate , and he had stolen fifty thousand dollars of the syndicate's money .",adventure
901,He had done time for the theft .,adventure
902,Both hated Donald Kruger .,adventure
903,"It had drawn them together , and since his release from prison Dill had worked tirelessly to effect this night's escape .",adventure
904,"He said now , `` I've got the perfect headquarters set up .",adventure
905,Mitch Barton knew the place .,adventure
906,Twenty years before a group of Easterners had bought out the Haskell claims in the rocky hills south of Grass Valley .,adventure
907,"They had spent a million dollars , carving in a road , putting up buildings , drilling their haulage tunnel .",adventure
908,Then the vein had petered out and the whole project had been abandoned .,adventure
909,"`` The road's washed badly '' , said Dill , `` but there's a trail you can get over with a horse .",adventure
910,A company of cavalry couldn't come in there if two men were guarding that trail '' .,adventure
911,Barton nodded .,adventure
912,`` How do the valley people feel '' ? ?,adventure
913,`` As mad as ever .,adventure
914,"But Kruger's men keep them off balance , and they don't trust me .",adventure
915,I'm an outsider .,adventure
916,"When they learn you're in the hills though , they'll rally , don't worry about that '' .",adventure
917,"Barton waited for a long moment , then asked the question which lay always uppermost in his mind .",adventure
918,`` My boy .,adventure
919,Did you find him '' ? ?,adventure
920,"Dill was silent as if he hated to answer , and Barton had a cold , sick feeling of apprehension .",adventure
921,`` He's in Morgan's Ferry '' .,adventure
922,Barton half-straightened in surprise .,adventure
923,`` What's he doing there '' ? ?,adventure
924,Again Dill hesitated .,adventure
925,`` Dealing faro '' .,adventure
926,`` Dealing faro ? ?,adventure
927,How come '' ? ?,adventure
928,`` Your sister-in-law has the faro bank in Cap Ayres' saloon '' .,adventure
929,"After another long pause he asked , `` How many people know who they are '' ? ?",adventure
930,`` Everyone .,adventure
931,"He's quite a rat , you know .",adventure
932,He sold out to Kruger's men .,adventure
933,He's informed them of everything you've ever written him .,adventure
934,He wants your ranch '' .,adventure
935,"He said tensely , `` All right .",adventure
936,`` I was afraid of this .,adventure
937,I almost didn't tell you '' .,adventure
938,`` If you hadn't I'd have killed you '' .,adventure
939,`` But you can't ride into the Ferry .,adventure
940,That's what they'll expect you to do .,adventure
941,They'll be there waiting for you .,adventure
942,'',adventure
943,`` The hell you do '' .,adventure
944,Barton's voice was rougher than Dill had ever heard it .,adventure
945,`` I never saw him .,adventure
946,My wife died in childbirth after I was sent away .,adventure
947,`` I can't leave him there .,adventure
948,"Donald Kruger would like nothing better than to hold him as hostage , and I wouldn't entrust a snake to his tender care .",adventure
949,Chapter two,adventure
950,"It was over an hour before their escape was discovered , but still the news that Barton was free flashed across the central portion of the state .",adventure
951,It reached Donald Kruger in his massive home in Burlingame .,adventure
952,It reached the mines at North San Juan and Bloomfield .,adventure
953,It brought men out of bed and sent them into hurried conferences .,adventure
954,"For everyone involved knew that the whole valley was a powder keg , and Mitchell Barton the fuse which could send it into explosive violence .",adventure
955,Creighton Hague sat in his office above the Ione pit .,adventure
956,"The office was of logs , four rooms , each heated by an iron stove .",adventure
957,The building was dwarfed by the scene outside .,adventure
958,There a dozen giant monitors played their seventy-five-foot jets of water against the huge seam of tertiary gravel which was the mountainside .,adventure
959,"The gravel was the bed of an ancient river , buckled in some prehistoric upheaval of earth .",adventure
960,"It was partially cemented by ages and pressure , yet it crumpled before the onslaught of the powerful streams , the force of a thousand fire hoses , and with the gold it held washed down through the long sluices .",adventure
961,A million dollars' of gold a month .,adventure
962,A million tons of rock and soil and brush .,adventure
963,The monitors ran twenty-four hours each day .,adventure
964,"Their roar , like the swelling volume of a hundred tornadoes could be heard for miles .",adventure
965,"Hague , like all who worked near the pits , was partly deafened from the constant assault against his eardrums .",adventure
966,"He was a big man , wearing a neat flannel shirt against the cold foothill air .",adventure
967,Fat showed in loose rolls beneath the shirt .,adventure
968,"Ten years older than Mitch Barton , he had clawed his way up from mucker in the pits to manager of the operation .",adventure
969,"He was proud of his accomplishments , proud of his job , proud that Donald Kruger and his associates trusted him .",adventure
970,He lived and breathed for the mining company .,adventure
971,"No man could have reached his spot nor held it without being ruthless , and Hague had made a virtue of ruthlessness all of his life .",adventure
972,There came a ghost of noise at the office door and Hague swung to see Kodyke in the entrance from the outer room .,adventure
973,Hague had never accustomed himself to Kodyke .,adventure
974,Even Hague was repelled by the machinelike deadliness that was Kodyke .,adventure
975,He knew nothing about the man's history .,adventure
976,Kodyke had appeared at the mine one day bearing a letter from Kruger .,adventure
977,Kodyke was to head the dread company police .,adventure
978,He ran the change rooms .,adventure
979,He threw out the hi-graders .,adventure
980,Hague squeezed down his uneasy dislike .,adventure
981,He pulled open the top drawer of his desk and drew out a tintype .,adventure
982,He broke out of Folsom last night .,adventure
983,Apparently he bribed one of the guards .,adventure
984,We want him back there or we want him dead '' .,adventure
985,"Kodyke took the picture in a lean hand , studying it thoughtfully .",adventure
986,`` Dangerous '' ? ?,adventure
987,"`` Dangerous , yes .",adventure
988,You know how the ranchers in the valley are .,adventure
989,They blame us for all their troubles .,adventure
990,Ten years ago they blew up some of our ditches .,adventure
991,It cost us a hundred thousand dollars and thirty days lost time to fix them .,adventure
992,We don't want Barton's Night Riders loose again '' .,adventure
993,"The gunman nodded , slipping the picture into his breast pocket , saying nothing .",adventure
994,"Normally Hague wasted no words , but now he found himself unable to stop their flow although he knew Kodyke was aware of all he said .",adventure
995,"If she sensed any unusual preoccupation on the part of her mother , she did not comment upon it .",adventure
996,"After they had finished eating , Melissa took Sprite the kitten under her arm -- `` so that Auntie Grace can teach it about the whistle '' -- and climbed into the station wagon beside her mother .",adventure
997,"When they reached their neighbor's house , Pamela said a few polite words to Grace and kissed Melissa lightly on the forehead , the impulse prompted by a stray thought -- of the type to which she was frequently subject these days -- that they might never see one another again .",adventure
998,"Then she turned the station wagon around and headed it back down the hill , with the village as her ostensible destination .",adventure
999,"As she drove , she thought about her plan .",adventure
1000,It was really quite simple .,adventure
1001,"So simple , in fact , that it might even work -- although Pamela , now , in her new frame of mind , was careful not to pretend too much assurance .",adventure
1002,She must be cautious so as not to alert the scheming forest .,adventure
1003,"When the station wagon drew abreast of the dusty dirt road that led up to the porch of the Culver house , Pamela turned the wheel , guiding the car to its familiar parking spot close to the house , and stopped .",adventure
1004,"All of her movements were careful and methodical , partaking of the stealth of a criminal who has plotted his felony for months in advance and knows exactly which step to take next in the course of the final execution of his crime .",adventure
1005,"She locked the ignition , removed the keys , stepped out of the car and went into the house .",adventure
1006,"Here , she dropped the keys on a small table beside the door and went upstairs to her bedroom .",adventure
1007,"On her bureau lay a small , brass ornament of simple design and faded engraving -- an object which , Pamela believed now , had been the property of her great-grandfather , Major Hiram Munroe Culver .",adventure
1008,"If she , Pamela , were being held responsible for his crimes , then hers must be the final act of expiation .",adventure
1009,"Slowly and thoughtfully , she slipped the ornament into the pocket of her slacks , moved down the stairs and out of the house .",adventure
1010,"There was only one place where the mountain might receive her -- that unnamed , unnameable pool harbored in its secret bosom .",adventure
1011,"Atonement , if atonement were possible , could only be made at that sacred , sacrificial basin .",adventure
1012,"It was there that she would have to enact her renunciation , beg forgiveness .",adventure
1013,"Perhaps it was insane , Pamela thought .",adventure
1014,Perhaps it was all a vividly conceived dream .,adventure
1015,"The forest was open and freely welcoming , extending an enchanted hand .",adventure
1016,"Birds chirped and chattered in the trees and the sun , all dewy-eyed and soft , caressed her shoulders warmly from time to time .",adventure
1017,"It was not , thought Pamela , such an evil place after all .",adventure
1018,No wonder Melissa responded so completely to its beckoning .,adventure
1019,Perhaps she had no reason to fear these trees that whispered their secrets above her head as she passed .,adventure
1020,"Was it not possible , after all , that the forest was in league with her and her child that its sympathy lay with the Culvers that she had erred in failing to understand this ? ?",adventure
1021,Pamela felt calm and peaceful as she walked along .,adventure
1022,"She regarded them as signs that she was nearing the glen she sought , and she was glad to at last be doing something positive in her unenunciated , undefined struggle with the mountain and its darkling inhabitants .",adventure
1023,"Having persisted too long in deliberate ignorance and denial of the forces that threatened her , Pamela was relieved now to admit their potency and to be taking definite steps toward grappling with them .",adventure
1024,"A few days ago , she would have thought such an expedition as this utterly ridiculous ; ;",adventure
1025,"today , on the contrary , it seemed utterly reasonable .",adventure
1026,She did not pause to consider what she would do if her plan should fail ; ;,adventure
1027,she directed all of her mental and physical energy toward achieving this one goal .,adventure
1028,"If , as she walked , her steps fumbled from time to time , she chose to ignore that omen .",adventure
1029,Success depended upon maintaining her equanimity ; ;,adventure
1030,she must be poised and proud and unafraid in order to prove to the mountain that she was in earnest .,adventure
1031,The forest took on an impersonal aspect .,adventure
1032,"It did not care what sort of person prowled its woods , plucked at its bark or stripped the berries from its bushes .",adventure
1033,"Unconcerned , indifferent , unmotivated , the forest was simply there -- fighting man's depredations with more abundant growth and man's follies with its own musical evening laughter .",adventure
1034,knowing that its ageless mass would always dwarf the short span of time allotted to any man .,adventure
1035,Pamela shook her head .,adventure
1036,She must not think about time .,adventure
1037,That was another one of those traps .,adventure
1038,"If , when this was all over , she found the words to tell him about it , she wondered if he would ever understand .",adventure
1039,How could he comprehend her need when he himself was innocent ? ?,adventure
1040,"Indian ghosts would not impinge upon his nights , nor would his days be haunted by the dimly-outlined , ill-conceived figure of her benighted ancestor .",adventure
1041,Pamela was glad Jim was nowhere near .,adventure
1042,His presence would have interfered with her duty .,adventure
1043,The mountainside grew steeper and she slipped once or twice on the smooth pine needles .,adventure
1044,"Bushes and vines abetted the rocks in forming thorny detours for the struggling stranger , and without the direct light of the sun to act as compass , Pamela could no longer be positive of her direction .",adventure
1045,"She was sure she would reach the pool by climbing , and she clung to that belief despite the increasing number of obstacles .",adventure
1046,"It was a bold , dark castle of pine boughs that stood like a medieval fortress , eclipsing the sun and human time .",adventure
1047,"At one and the same time , she was within it but still searching for the drawbridge that would give her entry .",adventure
1048,Silence came into the forest -- a solid being that clapped its hand over the murmuring mouths of the birds and the whispered comfort of the trees .,adventure
1049,"Silence walked at Pamela's side , its presence numbingly close , yet too far for her to hear .",adventure
1050,She stumbled over the root of a tree that protruded maliciously above the earth .,adventure
1051,"In spite of her attempt to preserve her balance , she fell , bruising her arm on a naked stone .",adventure
1052,She started to brush the dirt and bits of leaves off her clothes .,adventure
1053,"Her arm bled slightly , and the offended skin cried out in pain .",adventure
1054,She was bewildered .,adventure
1055,She seemed to have come such a long distance -- too far for her destination which had wilfully been swallowed up in the greedy gloom of the trees .,adventure
1056,"She stood quite still , trying to focus upon a direction in which to turn , a path to follow , a clue to guide her .",adventure
1057,She was standing in a thick grove .,adventure
1058,"The trees were crowded so closely together that their branches overlapped , virtually shutting out the sun completely .",adventure
1059,The earth smelled moist and pungent as it might in a cave deprived of the cleansing effect of the sun's rays .,adventure
1060,"She had the feeling that , under the mouldering leaves , there would be the bodies of dead animals , quietly decaying and giving their soil back to the mountain .",adventure
1061,The thought made Pamela shudder .,adventure
1062,A terrible chill swept through the grove .,adventure
1063,"Not a breeze exactly , but a pocket of icy air that settled with a loathsome familiarity upon the deep confines of the grove , catching Pamela in a leering embrace .",adventure
1064,Where before had she felt or dreamt or imagined such a scene ? ?,adventure
1065,"She already knew this unwholesome , chilling atmosphere that was somehow grotesquely alive .",adventure
1066,"It crept into the open neck of her blouse and slid down her body , seeping into her flesh through all the quivering pores of her skin .",adventure
1067,"It crawled across her breasts , suffocating the life in her nipples .",adventure
1068,"It circled her thighs , exploring with its icy tentacles .",adventure
1069,"It entered her body with the ghastly intimacy of an incubus , and its particles , spreading , creeping , crawling , joined themselves into steel bands that constricted her knees so tightly that they ached ; ;",adventure
1070,stifled her lungs so that her breath came in harsh gasps ; ;,adventure
1071,clutched her throat and sucked up the moisture in her mouth so that her tongue was dry and hard and stuck to the roof of her mouth and her teeth were clenched together in the rigid fixture of her jaws .,adventure
1072,"She had to get away from here before this demoniac possession swallowed up the liquid of her eyes and sank into the fibers of her brain , depriving her of reason and sight .",adventure
1073,But she did not know which way to go .,adventure
1074,"The shadows of the trees engulfed her , foreclosing every possible exit from the grove .",adventure
1075,She had been snared here by a vile sensuality that writhed around her throat in ever-tightening circles .,adventure
1076,"She could not scream , for even if a sound could take shape within her parched mouth , who would hear , who would listen ? ?",adventure
1077,Does the mountain listen ? ?,adventure
1078,Pamela groped blindly .,adventure
1079,She had to escape .,adventure
1080,She had to move in some direction -- any direction that would take her away from this evil place .,adventure
1081,She thrust forward through the shadows and the trees that resisted her and tried to fling her back .,adventure
1082,"Her own body protested , aching painfully where the blood in her veins had congealed , where cold demon wisps still clung and caressed .",adventure
1083,Every movement she made seemed unnecessarily noisy .,adventure
1084,Twigs cracked loudly under her feet ; ;,adventure
1085,bushes swished and scratched at her slacks ; ;,adventure
1086,"Miraculously , she found exactly the right statement .",adventure
1087,"She began it deliberately , so that none of her words would be lost on him .",adventure
1088,`` I want to tell you something Thomas DeMontez Lord .,adventure
1089,But '' --,adventure
1090,"`` But it don't matter a-tall '' , Lord supplied fondly .",adventure
1091,"`` To me you'll always be the girl o' my dreams , an' the sweetest flower that grows '' .",adventure
1092,She yanked away from him furiously .,adventure
1093,`` You shut up ! !,adventure
1094,Shu-tt up-pp ! !,adventure
1095,"I've got something to say to you , and by God you're going to listen .",adventure
1096,Do you hear me ? ?,adventure
1097,You're going to listen '' ! !,adventure
1098,Lord nodded agreeably .,adventure
1099,"He knew that anything a brainy little lady like her had to say would be plumb important , as well as pleasin' to the ear , and he didn't want to miss a word of it .",adventure
1100,So would she mind speaking a little louder ? ?,adventure
1101,"`` I think you stink , Tom Lord ! !",adventure
1102,"I think you're mean and hateful and stupid , and -- louder '' ? ?",adventure
1103,Said Joyce .,adventure
1104,`` Uh-huh .,adventure
1105,So I can hear you while I'm checkin' the car .,adventure
1106,He opened the door and got out .,adventure
1107,"He waited at the car side for a moment , looking down at her expectantly .",adventure
1108,`` Well ? ?,adventure
1109,Wasn't you goin' to say somethin' '' ? ?,adventure
1110,"Then , helpfully , as she merely stared at him in weary silence , `` Maybe you could write it down for me , huh ? ?",adventure
1111,"Print it in real big letters , an' I can cipher it out later '' .",adventure
1112,"`` Aah , go on '' , she said .",adventure
1113,`` Just go the hell on '' .,adventure
1114,"Then he hunkered down on the heels of his handmade boots , peered into the orderly chaos of axle , shock absorber , and spring .",adventure
1115,"Never , he'd once told Joyce , had he encountered any man or situation that called for a gun .",adventure
1116,"And he really feels that way , she thought .",adventure
1117,"That's really all he's got , all he is .",adventure
1118,Just a big pile of self-confidence in an almost teensy package .,adventure
1119,If I could make myself feel the same way,adventure
1120,"She studied him hopefully , yearningly ; ;",adventure
1121,against the limitless background of sky and wasteland it was easy to confirm her analysis .,adventure
1122,"Here in the God-forsaken place , the westerly end of nowhere , Tom Lord looked almost insignificant , almost contemptible .",adventure
1123,"He was handsome , with his coal-black hair and eyes , his fine-chiseled features .",adventure
1124,"But she'd known plenty of handsomer guys , and , conceding his good looks , what was there left ? ?",adventure
1125,He wasn't a big man ; ;,adventure
1126,rather on the medium side .,adventure
1127,Neither was he very powerful of build .,adventure
1128,And his relatively small hands and feet gave him an almost delicate appearance .,adventure
1129,"Just nothing , she told herself .",adventure
1130,"But , by gosh , I want him and I'm going to have him ! !",adventure
1131,"He caught her eye , came back around the car with the boot-wearer ; ;",adventure
1132,"teetering , half-mincing walk .",adventure
1133,"He slid in at her side , tucked a cigar into his mouth , and politely proffered one to her .",adventure
1134,"`` Oh , cut it out , Tom '' ! !",adventure
1135,She snapped .,adventure
1136,"`` This ain't your brand , maybe '' , Lord suggested .",adventure
1137,`` Or maybe you just don't feel like a cigar '' ? ?,adventure
1138,"`` I feel like getting back to town , that's what I feel like ! !",adventure
1139,"Now , are you going to take me or am I supposed to walk '' ? ?",adventure
1140,"`` Might get there faster walkin' '' , Lord drawled , `` seein' as how I got a busted front spring .",adventure
1141,"On the other hand , howsomever , maybe you wouldn't either .",adventure
1142,There's nothing out here but rattlesnakes '' .,adventure
1143,"`` Now , ain't it the truth '' ? ?",adventure
1144,Lord laughed with secret amusement .,adventure
1145,"`` Not a danged thing but rattlesnakes , so I reckon I'll get the boss rattler to help me '' .",adventure
1146,For God's sake '' ! !,adventure
1147,`` Looky '' .,adventure
1148,"He pointed , cutting her off .",adventure
1149,"sufficiently , at least , to get them back into town .",adventure
1150,"He had to depend on himself , since he was invariably miles and hours away from others .",adventure
1151,`` What did you mean by that rattlesnake gag ? ?,adventure
1152,Getting the boss rattlesnake to help you '' ? ?,adventure
1153,"`` What else would I mean , anyways '' ? ?",adventure
1154,"In his mood , it was the best way to handle him ; ;",adventure
1155,"that is , to show no curiosity whatsoever .",adventure
1156,"Otherwise , she would be baited into a tantrum -- teased and provoked until she lost control of herself , and thus lost still another battle in the maddening struggle of Tom Lord Vs. Joyce Lakewood .",adventure
1157,"The car lurched along at a snail's crawl , the left-front mudguard banging and scraping against the tire , occasionally scraping against the road itself .",adventure
1158,"He seemed very pleased with himself , as though some intricate scheme was working out exactly as he had planned .",adventure
1159,"Along with this self-satisfaction , however , Joyce sensed a growing tension .",adventure
1160,"It poured out of him like an electric current , a feeling that the muscles and nerves of his fine-drawn body were coiling for action , and that that action would be all that he anticipated .",adventure
1161,"Joyce had seen him like this once before -- more than once , actually , but on one particularly memorable occasion .",adventure
1162,"That was the day that he had practically mopped up the main street of Big Sands with Aaron McBride , field boss for the Highlands Oil & Gas Company .",adventure
1163,"Tom had been laying for Aaron McBride for a long time , just waiting to catch him out of line .",adventure
1164,He had a legitimate reason for wearing it .,adventure
1165,"It was payday for Highlands , and he was packing a lot of money back into the oil fields .",adventure
1166,"Moreover , as long as the weapon was carried openly , the sheriff's office had made no previous issue of it .",adventure
1167,"He demanded , when Lord confronted him .",adventure
